identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year,current_status,current_barcode,current_decision_date
31014522,A3092,221/1/4/1 PART 3,Defence of South East Asia (SEATO),26 Jan 1960 - 17 Dec 1960,1960-01-26,1960-12-17,Canberra,Closed,01 Oct 2019,2019-10-01,Withheld pending adv,2019,Open,,2020-03-03
31014944,A3092,221/11/11/2 PART 7A,"Malaysia - (closer association of the Federation of Malaya, Singapore, Brunei, Sarawak and British North Borneo)",02 Sep 1963 - 18 Sep 1963,1963-09-02,1963-09-18,Canberra,Closed,28 Nov 2011,2011-11-28,Withheld pending adv,2019,Open with exception,,2020-11-04
31015182,A5462,3/10/4/2 PART 2,Korean Armistice,23 Jun 1954 - 31 Jan 1955,1954-06-23,1955-01-31,Canberra,Closed,01 Jul 2019,2019-07-01,Withheld pending adv,2019,Open,,2020-03-16
31015191,A5462,3/10/4/7 PART 1,Korea - preparations for Political Conference,04 Jan 1954 - 28 Jan 1954,1954-01-04,1954-01-28,Canberra,Closed,02 Jul 2019,2019-07-02,Withheld pending adv,2019,Open,,2020-03-20
31015192,A5462,3/10/4/7 PART 2,Korea - preparations for Political Conference,01 Feb 1954 - 19 Feb 1954,1954-02-01,1954-02-19,Canberra,Closed,01 Jul 2019,2019-07-01,Withheld pending adv,2019,Open,,2020-02-24
31015372,A5460,508/36,Procurement - aircraft equipment and spares - (North American Sabre interceptor fighters),07 Mar 1951 - 13 Dec 1951,1951-03-07,1951-12-13,Canberra,Closed,06 May 2015,2015-05-06,Withheld pending adv,2019,Open,,2020-06-23
31092982,M880,707,Taxation - Fringe benefits tax,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31092984,M880,709,Taxation - Company tax,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period|MAKE YOUR SELECTION,2019,Open,,2020-09-10
31092997,M880,722,Gold tax,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-09-10
31092998,M880,723,Gold tax,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-09-10
31093002,M880,727,Foreign Affairs - Phillipines,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093003,M880,728,Foreign Affairs - Phillipines,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093005,M880,730,Foreign Affairs - Peace,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093012,M880,737,Foreign Affairs - Middle East,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093013,M880,738,Foreign Affairs - Middle East,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093014,M880,739,Foreign Affairs - Libya,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093015,M880,740,Foreign Affairs - Libya,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-09-10
31093036,M880,761,Investment in Poland,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-09-10
31093037,M880,762,Foreign Affairs - Opposition,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-09-10
31093038,M880,763,Foreign Affairs - General Vol II,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-08-20
31093039,M880,764,Foreign Affairs,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093041,M880,766,Foreign Affairs,1989 - 1990,1989-01-01,1990-01-01,Canberra,Closed,16 Jan 2018,2018-01-16,Closed period,2019,Open,,2020-08-20
31093043,M880,768,Human rights,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-08-20
31093044,M880,769,Eastern Europe,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-08-20
31093046,M880,771,FIA - Requirements and possibilities for the development of travel facilities to Poland for convertible currency traffic in the years 1989 - 1995 with a forecast to the year 2000,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093047,M880,772,Poland,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093048,M880,773,Speech notes for address to Federal Council of Polish Associations luncheon,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093049,M880,774,Bank Rozwoju Eksportu S.A. Export Development Bank Annual Report,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093055,M880,780,Foreign Affairs - Opposition,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,17 Jan 2018,2018-01-17,Closed period,2019,Open,,2020-08-20
31093056,M880,781,Foreign Affairs,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093058,M880,783,Environment and the Arts - Opposition,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,23 Jan 2018,2018-01-23,Closed period,2019,Open,,2020-08-20
31093060,M880,785,Environment and the Arts,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,16 Jan 2018,2018-01-16,Closed period,2019,Open,,2020-08-20
31093063,M880,788,Environment and the Arts - Opposition,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093064,M880,789,Environment and the Arts,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093065,M880,790,Disabled,1987 - 1989,1987-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093066,M880,791,Child support,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093067,M880,792,Community Services - Aged care,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093068,M880,793,Child care,1991 - 1992,1991-01-01,1992-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093069,M880,794,Ban on political advertising,1991 - 1991,1991-01-01,1991-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093070,M880,795,Employment,1991 - 1991,1991-01-01,1991-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093072,M880,797,Employment - Youth wages/unemployment,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093073,M880,798,Youth wages/unemployment,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093076,M880,801,Employment - unemployment,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093077,M880,802,Unemployment,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,11 Jan 2018,2018-01-11,Closed period,2019,Open,,2020-09-10
31093080,M880,805,Employment training,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,31 Jan 2018,2018-01-31,Closed period,2019,Open,,2020-09-10
31093081,M880,806,Employment - Opposition,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-09-10
31093082,M880,807,Employment - Opposition,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,06 Feb 2018,2018-02-06,Closed period,2019,Open,,2020-09-10
31093084,M880,809,Employment,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,06 Feb 2018,2018-02-06,Closed period,2019,Open,,2020-09-10
31093085,M880,810,Education - Non government,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-09-10
31093086,M880,811,Education - Tertiary,1987 - 1989,1987-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-09-10
31093087,M880,812,Education TAFE,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-08-20
31093088,M880,813,Education,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-08-20
31093089,M880,814,Media kit - A fair go,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,31 Jan 2018,2018-01-31,Closed period,2019,Open,,2020-08-20
31093090,M880,815,Education for active citizenship,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,31 Jan 2018,2018-01-31,Closed period,2019,Open,,2020-08-20
31093091,M880,816,Education,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-08-20
31093092,M880,817,Report of the committee of review of New South Wales schools,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-08-20
31093094,M880,819,Education: pathways to reform,1989 - 1989,1989-01-01,1989-01-01,Canberra,Closed,24 Jan 2018,2018-01-24,Closed period,2019,Open,,2020-08-20
31093096,M880,821,Budget,1990 - 1991,1990-01-01,1991-01-01,Canberra,Closed,02 Jan 2018,2018-01-02,Closed period,2019,Open,,2020-08-20
31093097,M880,822,Budget,1990 - 1990,1990-01-01,1990-01-01,Canberra,Closed,31 Jan 2018,2018-01-31,Closed period,2019,Open,,2020-08-20
